类别,need
购买受阻.卡不在身边且不记得卡号,
拒绝产品.已经买过这种类型的保险,1
拒绝产品.已经买了其他公司的类似产品,1
拒绝产品.这个产品太贵了,1
拒绝沟通.抱怨频繁沟通,1
拒绝沟通.其他,
拒绝沟通.现在没时间沟通,1
拒绝沟通.要求简单的沟通,
拒绝沟通.直接询问打电话的目的,1
拒绝购买.单纯不需要保险,
拒绝购买.已经有很多保险,1
拒绝购买.其他,
其他.购买意向不强，只是随便点了一下网站,
无意义.数据错误,
无意义.数据复核,
询问.其他,
询问.其他（保险条款）,
询问.询问保额多少,
询问.询问保费多少,1
询问.询问保险公司信息,1
询问.询问保障年限,
询问.询问产品内容,1
询问.询问等待期,
询问.询问理赔,1
询问.询问联系方式,
询问.询问其他产品,
询问.询问如何办理,1
询问.询问如何缴费频率,1
询问.询问如何支付,1
询问.询问是否可以加微信,
询问.要求发送资料,1
暂缓沟通.考虑一下再打电话回复,1
暂缓沟通.其他,
暂缓沟通.要求后续沟通，并询问联系方式,
暂缓沟通.要求后续沟通，并约定下次沟通时间,1
暂缓购买.单纯表示要考虑一下,1
暂缓购买.和其他人商量一下,1
暂缓购买.其他,
暂缓购买.要求发文字资料自己看一下,1
暂缓购买.资金紧张,1
